TDEP        DTCO       DTSM       PR         TICO       TISS       TVDBML             VP         VPVS       VS
2099.9125977 -9999      -9999      -9999      -9999      -9999      -96.09309290981007 -9999      -9999      -9999     
2119.268   -9999      -9999      -9999      -9999      -9999      -76.7382712462754 -9999      -9999      -9999     
2119.42    -9999      -9999      -9999      -9999      -9999      -76.58568461920987 -9999      -9999      -9999     
2119.573   -9999      -9999      -9999      -9999      -9999      -76.43334213093009 -9999      -9999      -9999     
2119.725   -9999      -9999      -9999      -9999      -9999      -76.28099964283034 -9999      -9999      -9999     
2119.877   -9999      -9999      -9999      -9999      -9999      -76.12865715491316 -9999      -9999      -9999     
2120.03    -9999      -9999      -9999      -9999      -9999      -75.9760705285739 -9999      -9999      -9999     
2120.182   -9999      -9999      -9999      -9999      -9999      -75.82372804101962 -9999      -9999      -9999     
2120.334   -9999      -9999      -9999      -9999      -9999      -75.67138555364585 -9999      -9999      -9999     
2120.487   -9999      -9999      -9999      -9999      -9999      -75.51904306645464 -9999      -9999      -9999     
2120.639   -9999      -9999      -9999      -9999      -9999      -75.36670057944438 -9999      -9999      -9999     
2120.792   -9999      -9999      -9999      -9999      -9999      -75.21411395401474 -9999      -9999      -9999     
2120.944   -9999      -9999      -9999      -9999      -9999      -75.06177146736823 -9999      -9999      -9999     
2121.096   -9999      -9999      -9999      -9999      -9999      -74.90942898090263 -9999      -9999      -9999     
2121.249   -9999      -9999      -9999      -9999      -9999      -74.75708649461834 -9999      -9999      -9999     
2121.401   -9999      -9999      -9999      -9999      -9999      -74.60449986991671 -9999      -9999      -9999     
2121.554   -9999      -9999      -9999      -9999      -9999      -74.4521573839958 -9999      -9999      -9999     
2121.706   -9999      -9999      -9999      -9999      -9999      -74.29981489825704 -9999      -9999      -9999     
2121.858   -9999      -9999      -9999      -9999      -9999      -74.14747241269963 -9999      -9999      -9999     
2122.011   -9999      -9999      -9999      -9999      -9999      -73.99488578872563 -9999      -9999      -9999     
