            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING
       1848.15480   1848.15747   1848.09685    191.15930      0.00000      8.72608      0.27856      0.37816      0.37350      0.24677      0.20979      0.32827      0.38591      0.37307      0.14757      0.19174      0.27344      0.24917      0.26295      0.28627      0.25772      0.30000      0.29772      0.30000      0.50000      0.42257      0.33546      0.44022      0.30753      0.29420      0.27980      1.06284     -0.02970    107.36940      0.21043      -999.25      -999.25   2686.99959      3.00000      -999.25      0.30611      0.37347      0.51056      0.50042      0.08486      0.00292      0.09320      0.10389      0.07625
       1848.30720   1848.29175   1848.24924    191.91140      0.00000      9.15221      0.27867      0.37830      0.37337      0.24679      0.20983      0.32827      0.38595      0.37307      0.14757      0.19174      0.27337      0.24918      0.26311      0.28660      0.25785      0.30000      0.29773      0.30000      0.50000      0.42257      0.33741      0.44042      0.29565      0.30374      0.28449      1.06337     -0.02916    108.12090      0.22469      -999.25      -999.25   2684.99952      3.00000      -999.25      0.31410      0.38257      0.51911      0.50980      0.09244      0.00278      0.10313      0.11271      0.08410
       1848.45960   1848.45837   1848.40162    190.03550      0.00000      8.62643      0.27864      0.37893      0.37355      0.24677      0.20981      0.32828      0.38589      0.37307      0.14757      0.19174      0.27313      0.24899      0.26297      0.28656      0.25781      0.30000      0.29773      0.30000      0.50000      0.42259      0.32440      0.44061      0.29736      0.32051      0.28782      1.06298     -0.02930    103.05880      0.21906      -999.25      -999.25   2686.99959      3.00000      -999.25      0.32125      0.39235      0.52972      0.51833      0.10236      0.00264      0.11194      0.12181      0.09167
       1848.61200   1848.62366   1848.55401    186.09210      0.00000      8.64798      0.27853      0.37829      0.37341      0.24668      0.20977      0.32827      0.38595      0.37308      0.14757      0.19174      0.27340      0.24913      0.26315      0.28660      0.25752      0.30000      0.29773      0.30000      0.50000      0.42262      0.33564      0.44248      0.28901      0.29527      0.28367      1.06409     -0.02889     98.74518      0.25603      -999.25      -999.25   2686.99959      3.00000      -999.25      0.32833      0.40139      0.53791      0.52889      0.11110      0.00263      0.12097      0.13014      0.10153
       1848.76440   1848.75330   1848.70639    185.20940      0.00000      8.29517      0.27845      0.37765      0.37366      0.24692      0.20983      0.32827      0.38597      0.37308      0.14757      0.19174      0.27313      0.24907      0.26309      0.28671      0.25790      0.30000      0.29773      0.30000      0.50000      0.42264      0.35422      0.44522      0.30307      0.30550      0.29263      1.06463     -0.02833    110.52790      0.25984      -999.25      -999.25   2686.00028      3.00000      -999.25      0.33639      0.41097      0.54458      0.53736      0.12042      0.00306      0.12959      0.13791      0.11055
       1848.91680   1848.90137   1848.85878    188.87450      0.00000      9.06274      0.27863      0.37755      0.37320      0.24695      0.20993      0.32826      0.38585      0.37305      0.14757      0.19174      0.27312      0.24899      0.26303      0.28630      0.25707      0.30000      0.29775      0.30000      0.50000      0.42259      0.32916      0.44815      0.29539      0.30269      0.30597      1.06470     -0.02858     99.85730      0.25052      -999.25      -999.25   2684.99952      3.00000      -999.25      0.34521      0.42104      0.55383      0.54396      0.12897      0.00355      0.13730      0.14675      0.11980
       1849.06920   1849.07959   1849.01117    194.15660      0.00000      7.87502      0.27846      0.37873      0.37383      0.24752      0.21021      0.32822      0.38563      0.37297      0.14757      0.19175      0.27363      0.24906      0.26268      0.28536      0.25646      0.30000      0.29777      0.30000      0.50000      0.42247      0.34039      0.44838      0.29895      0.30965      0.31143      1.06615     -0.02874    102.56610      0.21784      -999.25      -999.25   2688.00035      3.00000      -999.25      0.35319      0.43332      0.56333      0.55319      0.13666      0.00417      0.14611      0.15625      0.12834
       1849.22160   1849.23315   1849.16355    194.83920      0.00000      8.87421      0.27809      0.38185      0.37553      0.24850      0.21059      0.32821      0.38512      0.37283      0.14757      0.19176      0.27328      0.24874      0.26248      0.28650      0.25852      0.30000      0.29777      0.30000      0.50000      0.42231      0.33694      0.46030      0.30937      0.31737      0.29198      1.06442     -0.02945     99.83807      0.20830      -999.25      -999.25   2688.00035      3.00000      -999.25      0.36056      0.44389      0.57194      0.56250      0.14529      0.04376      0.15542      0.16501      0.13584
       1849.37400   1849.37524   1849.31594    193.86900      0.00000      9.62114      0.27770      0.39324      0.38075      0.25029      0.21101      0.32835      0.38419      0.37262      0.14757      0.19176      0.27212      0.24885      0.26298      0.28920      0.26316      0.30000      0.29764      0.30000      0.50000      0.42212      0.35032      0.46052      0.32250      0.31404      0.29344      1.06400     -0.02963    114.36390      0.21867      -999.25      -999.25   2688.00035      4.00000      -999.25      0.36750      0.45375      0.57944      0.57096      0.15444      0.05528      0.16403      0.17195      0.14431
       1849.52640   1849.52014   1849.46832    189.57580      0.00000     12.04894      0.30517      0.31820      0.32503      0.33023      0.33976      0.31970      0.33441      0.34134      0.34487      0.35068      0.30480      0.30945      0.31232      0.31885      0.33163      0.30530      0.31430      0.31910      0.32399      0.33388      0.35899      0.47564      0.31257      0.31551      0.31748      1.06388     -0.02838    110.78760      0.25703      8.50000      -999.25   2690.00042      4.00000   1570.13700      0.37624      0.46444      0.58818      0.57833      0.16291      0.06166      0.17083      0.18110      0.15333
