TVDepth(m)	Sgh	morph
2001.012	0	n
2001.1644	0	n
2001.3168	0	n
2001.4692	0	n
2001.6216	0	n
2001.774	0	n
2001.9264	0	n
2002.0788	0	n
2002.2312	0	n
2002.3836	0	n
2002.536	0	n
2002.6884	0	n
2002.8408	0	n
2002.9932	0	n
2003.1456	0	n
2003.298	0	n
2003.4504	0	n
2003.6028	0	n
2003.7552	0	n
2003.9076	0	n
2004.06	0	n
2004.2124	0	n
2004.3648	0	n
2004.5172	0	n
2004.6696	0	n
2004.822	0	n
2004.9744	0	n
2005.1268	0	n
2005.2792	0	n
2005.4316	0	n
2005.584	0	n
2005.7364	0	n
2005.8888	0	n
2006.0412	0	n
2006.1936	0	n
2006.346	0	n
2006.4984	0	n
2006.6508	0	n
2006.8032	0	n
2006.9556	0	n
2007.108	0	n
2007.2604	0	n
2007.4128	0	n
2007.5652	0	n
2007.7176	0	n
2007.87	0	n
2008.0224	0	n
2008.1748	0	n
2008.3272	0	n
2008.4796	0	n
2008.632	0	n
2008.7844	0	n
2008.9368	0	n
2009.0892	0	n
2009.2416	0	n
2009.394	0	n
2009.5464	0	n
2009.6988	0	n
2009.8512	0	n
2010.0036	0	n
2010.156	0	n
2010.3084	0	n
2010.4608	0	n
2010.6132	0	n
2010.7656	0	n
2010.918	0	n
2011.0704	0	n
2011.2228	0	n
2011.3752	0	n
2011.5276	0	n
2011.68	0	n
2011.8324	0	n
2011.9848	0	n
2012.1372	0	n
2012.2896	0	n
2012.442	0	n
2012.5944	0	n
2012.7468	0	n
2012.8992	0	n
2013.0516	0	n
2013.204	0	n
2013.3564	0	n
2013.5088	0	n
2013.6612	0	n
2013.8136	0	n
2013.966	0	n
2014.1184	0	n
2014.2708	0	n
2014.4232	0	n
2014.5756	0	n
2014.728	0	n
2014.8804	0	n
2015.0328	0	n
2015.1852	0	n
2015.3376	0	n
2015.49	0	n
2015.6424	0	n
2015.7948	0	n
2015.9472	0	n
2016.0996	0	n
2016.252	0	n
2016.4044	0	n
2016.5568	0	n
2016.7092	0	n
2016.8616	0	n
2017.014	0	n
2017.1664	0	n
2017.3188	0	n
2017.4712	0	n
2017.6236	0	n
2017.776	0	n
2017.9284	0	n
2018.0808	0	n
2018.2332	0	n
2018.3856	0	n
2018.538	0	n
2018.6904	0	n
2018.8428	0	n
2018.9952	0	n
2019.1476	0	n
2019.3	0	n
2019.4524	0	n
2019.6048	0	n
2019.7572	0	n
2019.9096	0	n
2020.062	0	n
2020.2144	0	n
2020.3668	0	n
2020.5192	0	n
2020.6716	0	n
2020.824	0	n
2020.9764	0	n
2021.1288	0	n
2021.2812	0	n
2021.4336	0	n
2021.586	0	n
2021.7384	0	n
2021.8908	0	n
2022.0432	0	n
2022.1956	0	n
2022.348	0	n
2022.5004	0	n
2022.6528	0	n
2022.8052	0.32447	F
2022.9576	0.3667	F
2023.11	0.25183	F
2023.2624	0	n
2023.4148	0	n
2023.5672	0	n
2023.7196	0	n
2023.872	0	n
2024.0244	0	n
2024.1768	0	n
2024.3292	0	n
2024.4816	0	n
2024.634	0	n
2024.7864	0	n
2024.9388	0	n
2025.0912	0	n
2025.2436	0	n
2025.396	0	n
2025.5484	0	n
2025.7008	0.18918	F
2025.8532	0.08577	F
2026.0056	0	n
2026.158	0	n
2026.3104	0	n
2026.4628	0	n
2026.6152	0	n
2026.7676	0	n
2026.92	0	n
2027.0724	0	n
2027.2248	0	n
2027.3772	0.20094	F
2027.5296	0.24441	F
2027.682	0.16921	F
2027.8344	0.17918	F
2027.9868	0.21623	F
2028.1392	0.13792	n
2028.2916	0	n
2028.444	0	n
2028.5964	0	n
2028.7488	0	n
2028.9012	0	n
2029.0536	0	n
2029.206	0	n
2029.3584	0	n
2029.5108	0	n
2029.6632	0	n
2029.8156	0	n
2029.968	0.20876	F
2030.1204	0.25943	F
2030.2728	0.3302	F
2030.4252	0.34335	F
2030.5776	0.3458	F
2030.73	0.33519	F
2030.8824	0.27149	F
2031.0348	0.26724	F
2031.1872	0.26021	F
2031.3396	0.24507	F
2031.492	0.26319	F
2031.6444	0.28292	F
2031.7968	0.17495	F
2031.9492	0.10704	F
2032.1016	0.14576	F
2032.254	0.17307	F
2032.4064	0.17121	F
2032.5588	0.18679	F
2032.7112	0	n
2032.8636	0	n
2033.016	0	n
2033.1684	0	n
2033.3208	0	n
2033.4732	0	n
2033.6256	0	n
2033.778	0	n
2033.9304	0	n
2034.0828	0	n
2034.2352	0	n
2034.3876	0	n
2034.54	0	n
2034.6924	0	n
2034.8448	0	n
2034.9972	0	n
2035.1496	0	n
2035.302	0	n
2035.4544	0	n
2035.6068	0	n
2035.7592	0	n
2035.9116	0	n
2036.064	0	n
2036.2164	0	n
2036.3688	0	n
2036.5212	0	n
2036.6736	0	n
2036.826	0	n
2036.9784	0	n
2037.1308	0	n
2037.2832	0	n
2037.4356	0	n
2037.588	0	n
2037.7404	0	n
2037.8928	0	n
2038.0452	0	n
2038.1976	0	n
2038.35	0	n
2038.5024	0	n
2038.6548	0	n
2038.8072	0	n
2038.9596	0	n
2039.112	0	n
2039.2644	0	n
2039.4168	0	n
2039.5692	0	n
2039.7216	0	n
2039.874	0	n
2040.0264	0	n
2040.1788	0.09845	F
2040.3312	0	F
2040.4836	0	F
2040.636	0.05062	F
2040.7884	0.27426	F
2040.9408	0	F
2041.0932	0	F
2041.2456	0.00574	F
2041.398	0.10056	F
2041.5504	0	F
2041.7028	0	n
2041.8552	0	n
2042.0076	0	n
2042.16	0	n
2042.3124	0	n
2042.4648	0	n
2042.6172	0	n
2042.7696	0	n
2042.922	0	n
2043.0744	0	n
2043.2268	0	n
2043.3792	0	n
2043.5316	0	n
2043.684	0	n
2043.8364	0	n
2043.9888	0	n
2044.1412	0	n
2044.2936	0	n
2044.446	0	n
2044.5984	0	n
2044.7508	0	n
2044.9032	0	n
2045.0556	0	n
2045.208	0	n
2045.3604	0	n
2045.5128	0	n
2045.6652	0	n
2045.8176	0	n
2045.97	0	n
2046.1224	0	n
2046.2748	0	n
2046.4272	0	n
2046.5796	0	n
2046.732	0	n
2046.8844	0	n
2047.0368	0	n
2047.1892	0	n
2047.3416	0	n
2047.494	0	n
2047.6464	0	n
2047.7988	0	n
2047.9512	0	n
2048.1036	0	n
2048.256	0	n
2048.4084	0	n
2048.5608	0	n
2048.7132	0	n
2048.8656	0	n
2049.018	0	n
2049.1704	0	n
2049.3228	0	n
2049.4752	0	n
2049.6276	0	n
2049.78	0	n
2049.9324	0	n
2050.0848	0	n
2050.2372	0	n
2050.3896	0	n
2050.542	0	n
2050.6944	0	n
2050.8468	0	n
2050.9992	0	n
2051.1516	0	n
2051.304	0	n
2051.4564	0	n
2051.6088	0	n
2051.7612	0	n
2051.9136	0	n
2052.066	0	n
2052.2184	0	n
2052.3708	0	n
2052.5232	0	n
2052.6756	0	n
2052.828	0	n
2052.9804	0	n
2053.1328	0	n
2053.2852	0	n
2053.4376	0	n
2053.59	0	n
2053.7424	0	n
2053.8948	0	n
2054.0472	0	n
2054.1996	0	n
2054.352	0	n
2054.5044	0	n
2054.6568	0	n
2054.8092	0	n
2054.9616	0	n
2055.114	0	n
2055.2664	0	n
2055.4188	0	n
2055.5712	0	n
2055.7236	0	n
2055.876	0	n
2056.0284	0	n
2056.1808	0	n
2056.3332	0	n
2056.4856	0	n
2056.638	0	n
2056.7904	0	n
2056.9428	0	n
2057.0952	0	n
2057.2476	0	n
2057.4	0	n
2057.5524	0	n
2057.7048	0	n
2057.8572	0	n
2058.0096	0	n
2058.162	0	n
2058.3144	0	n
2058.4668	0	n
2058.6192	0	n
2058.7716	0	n
2058.924	0	n
2059.0764	0	n
2059.2288	0	n
2059.3812	0	n
2059.5336	0	n
2059.686	0	n
2059.8384	0	n
2059.9908	0	n
2060.1432	0	n
2060.2956	0.19168	F
2060.448	0.31307	F
2060.6004	0	n
2060.7528	0	n
2060.9052	0	n
2061.0576	0	n
2061.21	0	n
2061.3624	0	n
2061.5148	0	n
2061.6672	0	n
2061.8196	0	n
2061.972	0	n
2062.1244	0	n
2062.2768	0	n
2062.4292	0	n
2062.5816	0	n
2062.734	0	n
2062.8864	0	n
2063.0388	0	n
2063.1912	0	n
2063.3436	0	n
2063.496	0	n
2063.6484	0	n
2063.8008	0	n
2063.9532	0	n
2064.1056	0	n
2064.258	0	n
2064.4104	0	n
2064.5628	0	n
2064.7152	0	n
2064.8676	0	n
2065.02	0	n
2065.1724	0	n
2065.3248	0	n
2065.4772	0	n
2065.6296	0	n
2065.782	0	n
2065.9344	0	n
2066.0868	0	n
2066.2392	0	n
2066.3916	0	n
2066.544	0	n
2066.6964	0	n
2066.8488	0	n
2067.0012	0	n
2067.1536	0	n
2067.306	0	n
2067.4584	0	n
2067.6108	0	n
2067.7632	0	n
2067.9156	0	n
2068.068	0	n
2068.2204	0	n
2068.3728	0	n
2068.5252	0	n
2068.6776	0	n
2068.83	0	n
2068.9824	0	n
2069.1348	0	n
2069.2872	0	n
2069.4396	0	n
