            DEPT        DEPTH          TVD         ROP5         CRPM           GR         A16H         A22H         A28H         A34H         A40H         A16L         A22L         A28L         A34L         A40L         P16H         P22H         P28H         P34H         P40H         P16L         P22L         P28L         P34L         P40L       RES_BD      RES_BIT       RES_BM       RES_BS     RES_RING         RHOB         DRHO         TNPH          PEF         DCAV         UCAV         DHAP         DHAT          ECD       TAB_GR      TAB_DEN      TAB_NEU      TAB_RES   TAB_RES_BD  TAB_RES_BIT   TAB_RES_BM   TAB_RES_BS TAB_RES_RING 
       2193.18840   2193.15894   2193.18214    330.10990      0.00000     11.85526      0.27028      0.37386      0.39128      0.23587      0.21534      0.35364      0.42327      0.40522      0.14746      0.19132      0.26365      0.23738      0.25167      0.27946      0.24600      0.30000      0.28922      0.30000      0.50000      0.45080      0.31657      0.49975      0.32439      0.32378      0.29578      1.05466     -0.03185      -999.25      0.68493      -999.25      -999.25   3195.99938      2.00000      -999.25      0.20168      0.26223      0.35445      0.34584      0.01348      0.00182      0.01417      0.01486      0.01279
       2193.34080   2193.33984   2193.33453    329.97770      0.00000     11.66853      0.27057      0.37422      0.39098      0.23576      0.21531      0.35364      0.42321      0.40521      0.14746      0.19132      0.26370      0.23733      0.25148      0.27949      0.24658      0.30000      0.28921      0.30000      0.50000      0.45081      0.32081      0.50064      0.32576      0.31522      0.29545      1.05592     -0.02797    130.00000      0.76760      -999.25      -999.25   3195.99938      2.00000      -999.25      0.20804      0.26804      0.36128      0.35402      0.01374      0.00189      0.01443      0.01514      0.01305
       2193.49320   2193.47437   2193.48693    328.65990      0.00000     12.06570      0.27001      0.37200      0.39077      0.23569      0.21519      0.35364      0.42328      0.40520      0.14746      0.19133      0.26368      0.23747      0.25131      0.27759      0.24454      0.30000      0.28924      0.30000      0.50000      0.45082      0.32463      0.50150      0.31778      0.30632      0.29972      1.05473     -0.02927      -999.25      0.71649      -999.25      -999.25   3195.99938      2.00000      -999.25      0.21494      0.27439      0.36160      0.36080      0.01396      0.00189      0.01466      0.01536      0.01327
       2193.64560   2193.63916   2193.63933    200.00730      0.00000     10.68317      0.27042      0.37474      0.39111      0.23569      0.21527      0.35364      0.42322      0.40520      0.14746      0.19132      0.26363      0.23739      0.25161      0.27912      0.24572      0.30000      0.28925      0.30000      0.50000      0.45081      0.31636      0.50099      0.32220      0.31249      0.30431      1.05465     -0.02980    104.10370      0.69729      -999.25      -999.25   3195.99938      2.00000      -999.25      0.22208      0.28207      0.37972      0.36110      0.01417      0.00485      0.01486      0.01555      0.01346
       2193.79800   2193.79370   2193.79173    187.64790      0.00000     10.15529      0.27029      0.37387      0.39094      0.23570      0.21528      0.35363      0.42325      0.40521      0.14746      0.19132      0.26355      0.23736      0.25178      0.27958      0.24582      0.30000      0.28923      0.30000      0.50000      0.45081      0.30748      0.50107      0.31387      0.31707      0.29596      1.05640     -0.03034    103.09040      0.66893      -999.25      -999.25   3197.00014      2.00000      -999.25      0.22958      0.29138      0.38583      0.37930      0.01444      0.00541      0.01513      0.01583      0.01375
       2193.95040   2193.93530   2193.94413    184.96140      0.00000      9.74951      0.27029      0.37377      0.39118      0.23578      0.21526      0.35363      0.42324      0.40521      0.14746      0.19132      0.26356      0.23735      0.25161      0.27933      0.24597      0.30000      0.28925      0.30000      0.50000      0.45080      0.31336      0.50187      0.31643      0.32045      0.29305      1.05557     -0.03096      -999.25      0.66728      -999.25      -999.25   3197.00014      2.00000      -999.25      0.23963      0.29852      0.38815      0.38533      0.01463      0.00547      0.01533      0.01603      0.01394
       2194.10280   2194.10913   2194.09653    175.96930      0.00000      9.97575      0.27034      0.37367      0.39115      0.23580      0.21527      0.35361      0.42329      0.40521      0.14746      0.19132      0.26365      0.23737      0.25155      0.27900      0.24567      0.30000      0.28921      0.30000      0.50000      0.45080      0.31790      0.50206      0.31146      0.31238      0.26524      1.05569     -0.03067      -999.25      0.66155      -999.25      -999.25   3195.99938      2.00000      -999.25      0.24583      0.30387      0.38782      0.38768      0.01486      0.00597      0.01555      0.02222      0.01416
       2194.25520   2194.24683   2194.24893    161.69020      0.00000     10.52876      0.26992      0.37298      0.39054      0.23554      0.21525      0.35362      0.42327      0.40520      0.14746      0.19132      0.26411      0.23720      0.25082      0.27792      0.24558      0.30000      0.28920      0.30000      0.50000      0.45077      0.32109      0.50226      0.32436      0.28617      0.28680      1.05531     -0.03070      -999.25      0.65134      -999.25      -999.25   3195.99938      2.00000      -999.25      0.24903      0.30667      0.38452      0.38436      0.01209      0.00375      0.01876      0.05445      0.01140
       2194.40760   2194.40063   2194.40133    147.50530      0.00000     10.23573      0.27051      0.37329      0.39065      0.23595      0.21557      0.35359      0.42333      0.40522      0.14746      0.19132      0.26399      0.23758      0.25164      0.27901      0.24592      0.30000      0.28916      0.30000      0.50000      0.45086      0.31348      0.50431      0.29605      0.31765      0.29897      1.05375     -0.03260      -999.25      0.64042      -999.25      -999.25   3197.00014      2.00000      -999.25      0.25501      0.31195      0.38383      0.38355      0.01779      0.00404      0.05348      0.06667      0.01112
       2194.56000   2194.57129   2194.55372    141.83330      0.00000     11.49257      0.27025      0.37350      0.39124      0.23585      0.21530      0.35364      0.42326      0.40521      0.14746      0.19132      0.26343      0.23728      0.25147      0.27904      0.24584      0.30000      0.28927      0.30000      0.50000      0.45080      0.28789      0.50658      0.31995      0.30906      0.29535      1.05217     -0.03444      -999.25      0.61200      -999.25      -999.25   3197.00014      2.00000      -999.25      0.26068      0.31805      0.43315      0.38327      0.05291      0.00436      0.06610      0.07389      0.01722
