TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2147.1632  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.3156  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.468   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.6204  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.7728  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2147.9252  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.0776  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.23    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.3824  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.5348  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.6872  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.8396  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2148.992   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.1444  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.2968  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.4492  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.6016  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.754   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2149.9064  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.0588  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.2112  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.3636  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.516   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.6684  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.8208  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2150.9732  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.1256  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.278   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.4304  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.5828  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.7352  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2151.8876  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.04    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.1924  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.3448  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.4972  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.6496  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.802   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2152.9544  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2153.1068  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
